X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.209,-0.003,-1.084866795,5.795111233,-5.355671519,-1434,0.817871094
-0.21,-0.005,-1.098599286,5.451798956,-5.081021697,-1433,0.854492188
-0.211,-0.004,-1.071134304,5.561658885,-5.232079099,-1433,0.68359375
-0.212,-0.004,-1.057401813,5.75391376,-5.232079099,-1435,0.268554688
-0.213,-0.004,-1.071134304,5.589123867,-5.287009063,-1434,-0.152587891
-0.214,-0.003,-1.084866795,5.383136501,-5.383136501,-1434,-0.29296875
-0.215,-0.003,-1.126064268,5.438066465,-5.36940401,-1433,-0.549316406
-0.216,-0.003,-1.112331777,5.575391376,-5.314474046,-1432,-0.341796875
-0.217,-0.003,-1.167261741,5.657786322,-5.273276572,-1432,-0.311279297
-0.218,-0.005,-1.167261741,5.287009063,-4.98489426,-1432,-0.122070313
-0.219,-0.004,-1.167261741,5.438066465,-5.204614117,-1433,0.030517578
-0.22,-0.004,-1.098599286,5.63032134,-5.190881626,-1433,-0.061035156
-0.221,-0.004,-1.126064268,5.644053831,-5.232079099,-1434,-0.122070313
-0.222,-0.003,-1.139796759,5.383136501,-5.341939028,-1434,-0.390625
-0.223,-0.003,-1.139796759,5.438066465,-5.314474046,-1433,-0.665283203
-0.224,-0.003,-1.139796759,5.506728921,-5.273276572,-1433,-0.799560547
-0.225,-0.003,-1.222191706,5.657786322,-5.273276572,-1432,-0.842285156
-0.224,-0.003,-1.180994232,5.177149135,-5.218346608,-1432,-0.463867188
-0.226,-0.005,-1.194726723,5.328206537,-5.012359242,-1433,-0.006103516
-0.227,-0.004,-1.15352925,5.506728921,-5.190881626,-1433,0.158691406
-0.228,-0.004,-1.139796759,5.602856358,-5.135951662,-1433,-0.109863281
-0.229,-0.003,-1.112331777,5.341939028,-5.314474046,-1434,-0.555419922
-0.23,-0.003,-1.112331777,5.36940401,-5.341939028,-1434,-0.958251953
-0.231,-0.003,-1.112331777,5.49299643,-5.273276572,-1433,-1.080322266
-0.232,-0.003,-1.112331777,5.657786322,-5.232079099,-1432,-1.07421875
-0.233,-0.003,-1.112331777,5.287009063,-5.190881626,-1432,-0.933837891
-0.234,-0.003,-1.112331777,5.36940401,-5.190881626,-1432,-0.549316406
-0.235,-0.005,-1.139796759,5.506728921,-4.957429278,-1432,-0.354003906
-0.236,-0.004,-1.126064268,5.602856358,-5.094754188,-1433,-0.012207031
-0.237,-0.003,-1.084866795,5.396868992,-5.300741555,-1433,-0.250244141
-0.238,-0.003,-1.098599286,5.396868992,-5.300741555,-1433,-0.482177734
-0.239,-0.003,-1.098599286,5.575391376,-5.259544081,-1434,-0.408935547
-0.24,-0.003,-1.084866795,5.671518814,-5.218346608,-1434,-0.518798828
-0.241,-0.003,-1.084866795,5.328206537,-5.163416644,-1433,-0.787353516
-0.242,-0.003,-1.084866795,5.465531447,-5.177149135,-1433,-0.360107422
-0.243,-0.005,-1.112331777,5.602856358,-4.929964296,-1433,-0.024414063
-0.244,-0.004,-1.084866795,5.547926394,-5.067289206,-1433,0.256347656
-0.245,-0.004,-1.084866795,5.328206537,-5.081021697,-1434,0.653076172
-0.246,-0.003,-1.071134304,5.396868992,-5.24581159,-1433,0.482177734
-0.247,-0.003,-1.071134304,5.506728921,-5.273276572,-1435,0.146484375
-0.248,-0.003,-1.071134304,5.506728921,-5.204614117,-1435,-0.311279297
-0.249,-0.003,-1.071134304,5.177149135,-5.177149135,-1434,-0.262451172
-0.25,-0.003,-1.057401813,5.259544081,-5.122219171,-1434,-0.115966797
